trip_id,pattern_id
01DCM11,Richmond - Daly City/Millbrae_1_3
09SFO11SAT,Pittsburg/Bay Point - SFIA/Millbrae_1_12
30DCM21SUN,Dublin/Pleasanton - Daly City_1_5
54DCM21SAT,Dublin/Pleasanton - Daly City_1_6
139OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
23OAK11,Coliseum - Oakland Int'l Airport_1_2
45OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
01DCM10,Richmond - Daly City/Millbrae_0_1
68OAK11SUN,Coliseum - Oakland Int'l Airport_1_2
34DCM21SAT,Dublin/Pleasanton - Daly City_1_5
99OAK11SAT,Coliseum - Oakland Int'l Airport_1_2
05OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
49SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_7
18DCM21SUN,Dublin/Pleasanton - Daly City_1_5
47R11SAT,Fremont - Richmond_1_2
111OAK11,Coliseum - Oakland Int'l Airport_1_2
02OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
27SFO10SUN,Pittsburg/Bay Point - SFIA/Millbrae_0_7
41SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_13
41OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
117OAK10SAT,Coliseum - Oakland Int'l Airport_0_1
25DCM21SUN,Dublin/Pleasanton - Daly City_1_5
58OAK10,Coliseum - Oakland Int'l Airport_0_1
108OAK10,Coliseum - Oakland Int'l Airport_0_1
46R10SUN,Fremont - Richmond_0_3
36R11,Fremont - Richmond_1_2
36R10,Fremont - Richmond_0_3
04DCM21SAT,Dublin/Pleasanton - Daly City_1_5
42SFO10SAT,Pittsburg/Bay Point - SFIA/Millbrae_0_7
53DCM10,Richmond - Daly City/Millbrae_0_2
53DCM11,Richmond - Daly City/Millbrae_1_4
51OAK10SUN,Coliseum - Oakland Int'l Airport_0_1
02DCM21,Dublin/Pleasanton - Daly City_1_5
02DCM20,Dublin/Pleasanton - Daly City_0_2
112OAK10,Coliseum - Oakland Int'l Airport_0_1
112OAK11,Coliseum - Oakland Int'l Airport_1_2
03DCM20SAT,Dublin/Pleasanton - Daly City_0_2
08SFO11SUN,Pittsburg/Bay Point - SFIA/Millbrae_1_12
