service_id,date,exception_type
2,20160905,2
2,20161124,2
2,20161125,2
2,20161226,2
2,20170102,2
2,20170116,2
2,20170220,2
2,20170529,2
2,20170704,2
2,20170904,2
2,20171110,2
2,20171123,2
2,20171124,2
2,20171225,2
3,20160905,2
3,20161124,2
3,20161125,2
3,20161226,2
3,20170102,2
3,20170116,2
3,20170220,2
3,20170529,2
3,20170704,2
3,20170904,2
3,20171110,2
3,20171123,2
3,20171124,2
3,20171225,2
5,20171111,2
6,20171111,2
8,20160905,1
8,20161124,1
8,20161125,1
8,20161226,1
8,20170102,1
8,20170116,1
8,20170220,1
8,20170529,1
8,20170704,1
8,20170904,1
8,20171110,1
8,20171111,1
8,20171123,1
8,20171124,1
8,20171225,1
9,20160905,1
9,20161124,1
9,20161125,1
9,20161226,1
9,20170102,1
9,20170116,1
9,20170220,1
9,20170529,1
9,20170704,1
9,20170904,1
9,20171110,1
9,20171111,1
9,20171123,1
9,20171124,1
9,20171225,1
