route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
379,72970,438,Eastbound Kaiser,0,146,29,
379,72970,1021,Westbound Hillcrest Park & Ride,1,166,31,
201,72970,979,Eastbound Pittsburg BART,0,118,23,
201,72970,1049,Eastbound Pittsburg BART,0,125,23,
201,72970,980,Eastbound Pittsburg BART,0,132,23,
201,72970,981,Eastbound Pittsburg BART,0,114,23,
201,72970,982,Eastbound Pittsburg BART,0,118,23,
201,72970,983,Eastbound Pittsburg BART,0,114,23,
201,72970,984,Eastbound Pittsburg BART,0,109,23,
201,72970,299,Eastbound Pittsburg BART,0,143,23,
201,72970,1053,Eastbound Pittsburg BART,0,135,23,
201,72970,1221,Eastbound Pittsburg BART,0,132,23,
201,72970,985,Eastbound Pittsburg BART,0,127,23,
201,72970,986,Eastbound Pittsburg BART,0,135,23,
201,72970,987,Eastbound Pittsburg BART,0,167,23,
201,72970,1054,Eastbound Pittsburg BART,0,127,23,
201,72970,988,Eastbound Pittsburg BART,0,154,23,
201,72970,989,Eastbound Pittsburg BART,0,127,23,
201,72970,990,Eastbound Pittsburg BART,0,166,23,
201,72969,991,Eastbound Pittsburg BART,0,132,23,
201,72971,376,Eastbound Pittsburg BART,0,172,23,
201,72970,1058,Eastbound Pittsburg BART,0,173,23,
201,72970,1168,Westbound Concord BART,1,118,21,
201,72970,1169,Westbound Concord BART,1,125,21,
201,72970,1170,Westbound Concord BART,1,132,21,
201,72970,1171,Westbound Concord BART,1,114,21,
201,72970,1173,Westbound Concord BART,1,118,21,
201,72970,1174,Westbound Concord BART,1,117,21,
201,72970,1175,Westbound Concord BART,1,114,21,
201,72970,1020,Westbound Concord BART,1,109,21,
201,72970,403,Westbound Concord BART,1,143,21,
201,72970,1176,Westbound Concord BART,1,135,21,
201,72970,1177,Westbound Concord BART,1,132,21,
201,72970,1346,Westbound Concord BART,1,127,21,
201,72970,1348,Westbound Concord BART,1,135,21,
201,72970,1027,Westbound Concord BART,1,167,21,
201,72970,1349,Westbound Concord BART,1,127,21,
201,72970,1350,Westbound Concord BART,1,154,21,
201,72970,1352,Westbound Concord BART,1,127,21,
201,72970,1083,Westbound Concord BART,1,166,21,
201,72969,930,Westbound Concord BART,1,132,21,
201,72971,321,Westbound Concord BART,1,172,21,
201,72970,1217,Westbound Concord BART,1,173,21,
390,72970,1114,Eastbound Hillcrest Park & Ride,0,116,7,
390,72970,1045,Eastbound Hillcrest Park & Ride,0,135,7,
390,72971,322,Eastbound Hillcrest Park & Ride,0,169,7,
390,72969,1048,Eastbound Hillcrest Park & Ride,0,132,7,
390,72970,1115,Eastbound Hillcrest Park & Ride,0,150,7,
390,72970,1178,Eastbound Hillcrest Park & Ride,0,155,7,
390,72970,1050,Eastbound Hillcrest Park & Ride,0,163,7,
390,72970,1051,Eastbound Hillcrest Park & Ride,0,161,7,
390,72970,1052,Eastbound Hillcrest Park & Ride,0,174,7,
390,72970,1167,Eastbound Hillcrest Park & Ride,0,157,7,
390,72970,1026,Westbound Pittsburg BART,1,109,6,
390,72970,1028,Westbound Pittsburg BART,1,115,6,
390,72970,3524,Westbound Pittsburg BART,1,121,6,
390,72970,1030,Westbound Pittsburg BART,1,127,6,
390,72970,1031,Westbound Pittsburg BART,1,134,6,
390,72970,1032,Westbound Pittsburg BART,1,141,6,
390,72970,418,Westbound Pittsburg BART,1,143,6,
387,72970,931,Westbound Pittsburg BART,0,110,65,
387,72970,3676,Westbound Pittsburg BART,0,120,65,
387,72970,932,Westbound Pittsburg BART,0,133,65,
387,72970,40,Westbound Pittsburg BART,0,123,65,
387,72970,41,Westbound Pittsburg BART,0,146,65,
387,72970,933,Westbound Pittsburg BART,0,148,65,
387,72970,934,Westbound Pittsburg BART,0,150,65,
387,72970,44,Westbound Pittsburg BART,0,123,65,
387,72970,935,Westbound Pittsburg BART,0,128,65,
387,72970,936,Westbound Pittsburg BART,0,149,65,
387,72970,937,Westbound Pittsburg BART,0,164,65,
387,72970,1235,Westbound Pittsburg BART,0,150,65,
387,72970,1238,Westbound Pittsburg BART,0,170,65,
387,72970,1240,Westbound Pittsburg BART,0,174,65,
387,72970,51,Westbound Pittsburg BART,0,146,65,
387,72970,52,Westbound Pittsburg BART,0,122,65,
387,72970,1293,Eastbound Tri Delta Transit,1,112,64,
387,72970,1294,Eastbound Tri Delta Transit,1,126,64,
387,72970,1295,Eastbound Tri Delta Transit,1,136,64,
387,72970,929,Eastbound Tri Delta Transit,1,110,64,
387,72970,1104,Eastbound Tri Delta Transit,1,148,64,
387,72970,1105,Eastbound Tri Delta Transit,1,116,64,
387,72970,1106,Eastbound Tri Delta Transit,1,151,64,
387,72970,1107,Eastbound Tri Delta Transit,1,155,64,
387,72970,1108,Eastbound Tri Delta Transit,1,148,64,
387,72971,310,Eastbound Tri Delta Transit,1,174,64,
387,72969,1109,Eastbound Tri Delta Transit,1,128,64,
387,72970,1110,Eastbound Tri Delta Transit,1,173,64,
387,72970,284,Eastbound Tri Delta Transit,1,143,64,
387,72970,1040,Eastbound Tri Delta Transit,1,127,64,
387,72970,1111,Eastbound Tri Delta Transit,1,148,64,
386,72970,905,Loop Brentwood Park & Ride,0,135,18,
386,72969,906,Loop Brentwood Park & Ride,0,159,18,
386,72971,304,Loop Brentwood Park & Ride,0,159,18,
388,72970,1263,Westbound Pittsburg BART,0,116,61,
388,72970,231,Westbound Pittsburg BART,0,122,61,
388,72970,1264,Westbound Pittsburg BART,0,130,61,
388,72970,1091,Westbound Pittsburg BART,0,109,59,
388,72970,19,Westbound Pittsburg BART,0,147,59,
388,72970,897,Westbound Pittsburg BART,0,116,59,
388,72970,1093,Westbound Pittsburg BART,0,128,59,
388,72970,22,Westbound Pittsburg BART,0,122,59,
388,72970,1095,Westbound Pittsburg BART,0,149,59,
388,72970,1066,Westbound Pittsburg BART,0,134,61,
388,72970,1067,Westbound Pittsburg BART,0,130,61,
388,72970,1016,Westbound Pittsburg BART,0,127,59,
388,72970,1069,Westbound Pittsburg BART,0,157,61,
388,72970,1070,Westbound Pittsburg BART,0,162,61,
388,72969,1096,Westbound Pittsburg BART,0,152,59,
388,72971,226,Westbound Pittsburg BART,0,130,59,
388,72970,1019,Westbound Pittsburg BART,0,168,59,
388,72970,898,Westbound Pittsburg BART,0,163,59,
388,72970,899,Westbound Pittsburg BART,0,160,59,
388,72970,900,Westbound Pittsburg BART,0,157,59,
388,72970,1073,Westbound Pittsburg BART,0,149,61,
388,72970,1075,Westbound Pittsburg BART,0,165,61,
388,72970,1245,Westbound Pittsburg BART,0,170,61,
388,72970,922,Eastbound Kaiser,1,109,58,
388,72970,372,Eastbound Kaiser,1,121,58,
388,72970,373,Eastbound Kaiser,1,122,58,
388,72971,306,Eastbound Kaiser,1,125,58,
388,72969,374,Eastbound Kaiser,1,124,58,
388,72970,1224,Eastbound Kaiser,1,129,72,
388,72970,1241,Eastbound Kaiser,1,139,72,
388,72970,375,Eastbound Kaiser,1,146,58,
388,72970,923,Eastbound Kaiser,1,127,58,
388,72970,924,Eastbound Kaiser,1,118,58,
388,72970,938,Eastbound Kaiser,1,149,66,
388,72971,307,Eastbound Kaiser,1,130,72,
388,72969,1228,Eastbound Kaiser,1,152,72,
388,72970,907,Eastbound Kaiser,1,156,72,
388,72970,1246,Eastbound Kaiser,1,163,66,
388,72970,908,Eastbound Kaiser,1,160,72,
388,72970,909,Eastbound Kaiser,1,151,72,
388,72970,910,Eastbound Kaiser,1,168,72,
388,72970,911,Eastbound Kaiser,1,170,72,
388,72970,912,Eastbound Kaiser,1,164,72,
388,72970,925,Eastbound Kaiser,1,176,58,
388,72970,926,Eastbound Kaiser,1,151,58,
388,72970,927,Eastbound Kaiser,1,127,58,
200,72970,1059,Westbound Amtrak,0,113,14,
200,72970,1061,Westbound Amtrak,0,131,14,
200,72970,1063,Westbound Amtrak,0,118,14,
200,72970,992,Westbound Amtrak,0,116,14,
200,72970,1230,Westbound Amtrak,0,132,14,
200,72970,993,Westbound Amtrak,0,156,14,
200,72970,315,Westbound Amtrak,0,143,14,
200,72970,1046,Westbound Amtrak,0,128,14,
200,72970,994,Westbound Amtrak,0,132,14,
200,72970,995,Westbound Amtrak,0,172,14,
200,72970,1250,Eastbound Pittsburg BART,1,113,15,
200,72970,1229,Eastbound Pittsburg BART,1,118,15,
200,72970,1252,Eastbound Pittsburg BART,1,116,15,
200,72970,913,Eastbound Pittsburg BART,1,132,15,
200,72970,914,Eastbound Pittsburg BART,1,156,15,
200,72970,330,Eastbound Pittsburg BART,1,143,15,
200,72971,377,Eastbound Pittsburg BART,1,128,15,
200,72969,1247,Eastbound Pittsburg BART,1,128,15,
200,72971,378,Eastbound Pittsburg BART,1,132,15,
200,72969,1253,Eastbound Pittsburg BART,1,132,15,
200,72971,379,Eastbound Pittsburg BART,1,172,15,
200,72969,1244,Eastbound Pittsburg BART,1,172,15,
300,72970,955,Eastbound Brentwood Park & Ride,0,100,1,
300,72971,305,Eastbound Brentwood Park & Ride,0,104,1,
300,72969,956,Eastbound Brentwood Park & Ride,0,104,1,
300,72970,1017,Eastbound Brentwood Park & Ride,0,101,1,
300,72970,1033,Eastbound Brentwood Park & Ride,0,105,1,
300,72970,1018,Eastbound Brentwood Park & Ride,0,102,1,
300,72970,1034,Eastbound Brentwood Park & Ride,0,103,1,
300,72970,1035,Eastbound Brentwood Park & Ride,0,101,1,
300,72971,327,Eastbound Brentwood Park & Ride,0,102,1,
300,72969,1036,Eastbound Brentwood Park & Ride,0,102,1,
300,72971,328,Eastbound Brentwood Park & Ride,0,103,1,
300,72969,1057,Eastbound Brentwood Park & Ride,0,103,1,
300,72971,329,Eastbound Brentwood Park & Ride,0,104,1,
300,72969,1062,Eastbound Brentwood Park & Ride,0,104,1,
300,72969,1102,Eastbound Brentwood Park & Ride,0,101,1,
300,72971,331,Eastbound Brentwood Park & Ride,0,101,1,
300,72971,227,Eastbound Brentwood Park & Ride,0,102,1,
300,72969,1037,Eastbound Brentwood Park & Ride,0,102,1,
300,72971,332,Eastbound Brentwood Park & Ride,0,103,1,
300,72969,1038,Eastbound Brentwood Park & Ride,0,103,1,
300,72971,333,Eastbound Brentwood Park & Ride,0,104,1,
300,72969,1071,Eastbound Brentwood Park & Ride,0,104,1,
300,72969,1039,Eastbound Brentwood Park & Ride,0,101,1,
300,72971,334,Eastbound Brentwood Park & Ride,0,101,1,
300,72969,1041,Eastbound Brentwood Park & Ride,0,102,1,
300,72971,335,Eastbound Brentwood Park & Ride,0,102,1,
300,72969,1042,Eastbound Brentwood Park & Ride,0,103,1,
300,72971,336,Eastbound Brentwood Park & Ride,0,103,1,
300,72969,1044,Eastbound Brentwood Park & Ride,0,104,1,
300,72971,337,Eastbound Brentwood Park & Ride,0,104,1,
300,72971,339,Eastbound Brentwood Park & Ride,0,101,1,
300,72969,1047,Eastbound Brentwood Park & Ride,0,101,1,
300,72969,1172,Eastbound Brentwood Park & Ride,0,102,1,
300,72971,340,Eastbound Brentwood Park & Ride,0,102,1,
300,72969,1233,Eastbound Brentwood Park & Ride,0,177,1,
300,72971,341,Eastbound Brentwood Park & Ride,0,105,1,
300,72971,342,Eastbound Brentwood Park & Ride,0,103,1,
300,72969,1347,Eastbound Brentwood Park & Ride,0,103,1,
300,72969,1351,Eastbound Brentwood Park & Ride,0,104,1,
300,72971,343,Eastbound Brentwood Park & Ride,0,104,1,
300,72971,344,Eastbound Brentwood Park & Ride,0,107,1,
